57,0463
56,8734
56,9957
56,6019
56,3569
56,3878
56,5925
56,7597
56,5892
56,6261
56,4115
56,3888
55,9288
55,8288
56,2908
56,2914
56,1840
56,2613
56,0408
56,6278
57,2196
56,9533
57,6736
58,1718
58,0171
57,7701
57,5899
56,5918
56,3554
56,3438
56,5201
56,6537
56,7608
55,9208
55,6717
56,3742
56,4334
56,6616
57,1000
56,5041
56,8011
56,6122
56,9359
56,9372
57,0188
57,4942
57,5521
57,7033
57,4954
56,8391
57,1072
57,0039
57,1747
57,5598
57,7626
57,2649
57,2850
57,5375
57,7646
57,5796
57,8332
58,5714
62,3699
64,0626
62,0659
61,4311
62,2794
61,1454
61,5539
60,8583
61,3222
61,7655
61,6644
61,7494
62,6027
62,7260
61,9997
63,4860
63,2012
62,7148
63,0066
62,5229
61,7354
61,7684
61,9164
62,3033
61,8215
61,9408
62,5327
61,2610
61,5945
61,4090
61,6659
62,2710
62,6420
62,5937
62,0188
62,2056
61,9290
61,9822
62,0064
61,8125
62,6680
62,3431
63,1164
62,2511
62,6851
63,4838
64,0683
63,6175
63,7873
63,2396
62,9497
62,7908
63,1359
63,2910
62,7565
63,1394
63,2194
63,2267
63,2604
63,1216
62,8338
62,4442
62,0980
62,2062
62,2934
62,2556
62,4352
62,9006
63,2746
63,4888
63,1957
62,9235
63,0836
62,9471
62,9726
62,7805
62,3497
62,5590
63,1358
63,4549
63,4975
63,5425
63,5950
66,2856
66,9075
68,2234
66,7535
66,3772
66,8932
66,8757
67,1807
67,1783
67,6163
68,5259
67,7911
67,3963
67,3911
68,1451
68,0821
68,0447
67,7443
68,2737
68,4628
68,2505
69,0286
69,8685
69,9744
69,5728
68,6370
68,2826
68,1958
67,7519
67,0098
66,4725
66,2497
66,1594
65,8244
65,7585
65,8355
65,5906
65,5745
65,2221
65,4244
66,2115
66,6270
66,9685
66,4032
66,1832
66,7727
65,9751
65,7508
65,5305
65,4026
65,7238
65,8140
65,3065
65,3101
65,6299
65,7476
65,6345
65,8129
65,7742
65,5962
65,6517
65,5799
65,9912
66,0918
66,2155
66,8497
67,5238
67,6812
67,9975
66,6159
65,9931
66,0081
65,5871
65,9485
65,6067
65,6664
66,5072
66,7800
66,9436
66,6342
66,5335
66,2921
66,4467
66,8242
66,7377
66,9227
66,2416
66,5022
66,4225
66,2550
66,4337
66,6208
66,7454
67,1121
67,3710
68,0085
68,4073
